,tr_main_law,tr_draft,tr_category
506,"On the ratification of the Memorandum of Obligations of the Islamic Republic of Iran in order to obtain the status of a member State of the Shanghai Cooperation Organization, signed on September 16, 2022 in the city of Samarkand",About the draft Law,Empty
507,"On the ratification of the Memorandum of Obligations of the Islamic Republic of Iran in order to obtain the status of a member State of the Shanghai Cooperation Organization, signed on September 16, 2022 in the city of Samarkand",About the draft Law,Empty
508,"On the ratification of the Agreement on Mutual Legal Assistance in Administrative Matters in the Field of Personal Data Exchange, signed on December 18, 2020",About the draft Law,Empty
509,"On the ratification of the Agreement on Mutual Legal Assistance in Administrative Matters in the Field of Personal Data Exchange, signed on December 18, 2020",About the draft Law,Empty
510,"On the ratification of the Agreement on Mutual Legal Assistance in Administrative Matters in the Field of Personal Data Exchange, signed on December 18, 2020",About the draft Law,Empty
511,About advertising,On amendments to the Law of the Kyrgyz Republic,About the draft Law
512,"On External migration"", On external labor migration"", On the legal status of foreign citizens in the Kyrgyz Republic"")""",About the draft Law,"On amendments to some legislative acts of the Kyrgyz Republic"" (laws"
513,"On the write-off of budget loans issued to business entities of the Batken region affected by the conflict on the Kyrgyz-Tajik border on April 28-30, 2021",About the draft Law,Empty
514,On consumer protection,On amendments to the Law of the Kyrgyz Republic,About the draft Law
515,"On operational investigative activities"", On the procedure for conducting inspections of business entities"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
516,"On special protective, anti-dumping and countervailing measures for the import of goods",About the draft Law,Empty
517,About electronic commerce,On amendments to the Law of the Kyrgyz Republic,About the draft Law
518,On state regulation of foreign trade activities,About the draft Law,Empty
519,About youth,About the draft Law,Empty
520,On amendments to some legislative acts of the Kyrgyz Republic on education,About the draft Law,Empty
521,About science,About the draft Law,Empty
522,About financial lease (leasing)),"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the Law",About the draft Law
523,On amendments to the Criminal Code of the Kyrgyz Republic ),About the draft Law,Empty
524,"On approval of the External auditor of the National Bank of the Kyrgyz Republic for 2023, 2024 and 2025",On the draft resolution of the Jogorku Kenesh,Empty
525,"On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic No. 18-VII dated January 13, 2022",On amending the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
526,On the election of Akyykatchy (Ombudsman) Kyrgyz Republic,Empty,Empty
527,"On the write-off of budget loans issued to business entities of the Batken region affected by the conflict on the Kyrgyz-Tajik border on April 28-30, 2021",About the draft Law,Empty
528,About electronic commerce,On amendments to the Law of the Kyrgyz Republic,About the draft Law
529,About the National Kurultai,About the draft Law,Empty
530,Butun Kyrgyzstan,On the proposal of the parliamentary faction of the Jogorku Kenesh of the Kyrgyz Republic,Empty
531,On the early release of Abdrakhmatova A.B. from the post of Akyykatchy (Ombudsman) Kyrgyz Republic,Empty,Empty
532,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
533,On amendments to some legislative acts of the Kyrgyz Republic in the field of public procurement,About the draft Law,Empty
534,About cooperatives,On amendments to the Law of the Kyrgyz Republic,About the draft Law
535,"On ratification of the Protocol on Amendments to the Agreement between the Government of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on Mutual Travel of Citizens dated October 3, 2006, signed on January 27, 2023 in Bishkek",About the draft Law,Empty
536,"On ratification of the Protocol on Amendments to the Agreement between the Government of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on Mutual Travel of Citizens dated October 3, 2006, signed on January 27, 2023 in Bishkek",About the draft Law,Empty
537,"On ratification of the Protocol on Amendments to the Agreement between the Government of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on Mutual Travel of Citizens dated October 3, 2006, signed on January 27, 2023 in Bishkek",About the draft Law,Empty
538,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Maldives on mutual exemption from Visa Requirements, signed on September 23, 2022 in New York City",About the draft Law,Empty
539,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Maldives on mutual exemption from Visa Requirements, signed on September 23, 2022 in New York City",About the draft Law,Empty
540,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Maldives on mutual exemption from Visa Requirements, signed on September 23, 2022 in New York City",About the draft Law,Empty
541,"On ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Kingdom of Bahrain on exemption from visa requirements for holders of diplomatic, service and special passports, signed on June 21, 2022 in the city of Manama",About the draft Law,Empty
542,"On ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Kingdom of Bahrain on exemption from visa requirements for holders of diplomatic, service and special passports, signed on June 21, 2022 in the city of Manama",About the draft Law,Empty
543,"On ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Kingdom of Bahrain on exemption from visa requirements for holders of diplomatic, service and special passports, signed on June 21, 2022 in the city of Manama",About the draft Law,Empty
544,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Lebanese Republic on mutual exemption from visa requirements for holders of Diplomatic, Service and Special Passports, signed on September 22, 2022 in New York City",About the draft Law,Empty
545,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Lebanese Republic on mutual exemption from visa requirements for holders of Diplomatic, Service and Special Passports, signed on September 22, 2022 in New York City",About the draft Law,Empty
546,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Lebanese Republic on mutual exemption from visa requirements for holders of Diplomatic, Service and Special Passports, signed on September 22, 2022 in New York City",About the draft Law,Empty
547,"On the Ratification of Amendments to the Memorandum of Understanding between the Government of the Kyrgyz Republic and the Government of the United Arab Emirates on the Mutual Abolition of Visa Requirements for Holders of Diplomatic Passports dated January 17, 2017, introduced through the exchange of notes between the Ministry of Foreign Affairs of the Kyrgyz Republic and the Ministry of Foreign Affairs and International Cooperation of the United Arab Emirates",About the draft Law,Empty
548,"On the Ratification of Amendments to the Memorandum of Understanding between the Government of the Kyrgyz Republic and the Government of the United Arab Emirates on the Mutual Abolition of Visa Requirements for Holders of Diplomatic Passports dated January 17, 2017, introduced through the exchange of notes between the Ministry of Foreign Affairs of the Kyrgyz Republic and the Ministry of Foreign Affairs and International Cooperation of the United Arab Emirates",About the draft Law,Empty
549,"On the Ratification of Amendments to the Memorandum of Understanding between the Government of the Kyrgyz Republic and the Government of the United Arab Emirates on the Mutual Abolition of Visa Requirements for Holders of Diplomatic Passports dated January 17, 2017, introduced through the exchange of notes between the Ministry of Foreign Affairs of the Kyrgyz Republic and the Ministry of Foreign Affairs and International Cooperation of the United Arab Emirates",About the draft Law,Empty
550,"On the ratification of the Loan Agreement (ordinary operations on preferential terms) (Project to strengthen regional security in the field of health) between the Kyrgyz Republic and the Asian Development Bank and the Grant Agreement (Special Operations) (Project to strengthen regional security in the field of health) between the Kyrgyz Republic and the Asian Development Bank, signed on December 7, 2022 in the city Bishkek",About the draft Law,Empty
551,"Reconstruction of Lebedinovskaya HPP"") and the Grant Agreement between the Kyrgyz Republic, Open Joint Stock Company Chakan HPP and the European Bank for Reconstruction and Development (Reconstruction of Lebedinovskaya HPP project), signed on March 3, 2023 in London""",About the draft Law,On the ratification of the Loan Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development (draft
552,About the environmental situation associated with smog,On the draft resolution of the Jogorku Kenesh,Empty
553,On the protection of bank deposits,On amendments to the Law of the Kyrgyz Republic,About the draft Law
554,On State guarantees for ethnic Kyrgyz moving to the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
555,"On the universal military duty of citizens of the Kyrgyz Republic, on military and alternative services",On amendments to the Law of the Kyrgyz Republic,About the draft Law
556,"On the ratification of the Bilateral Investment Agreement between the Government of the Kyrgyz Republic and the Government of the Republic of India, signed on June 14, 2019 in Bishkek",About the draft Law,Empty
557,"On the Accession of the Kyrgyz Republic to the Agreement on the Adoption of the United Nations Harmonized Technical Regulations for Wheeled Vehicles, Equipment and Parts that Can be Installed and/or Used on Wheeled Vehicles, and on the Conditions for Mutual Recognition of Approvals Issued on the Basis of these United Nations Regulations, done in Geneva on March 20 In 1958",About the draft Law,Empty
558,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
559,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
560,"On the state monopoly on the production, import, storage and sale of ethyl alcohol and state regulation of the production of alcoholic beverages",About the draft Law,Empty
561,"On the ratification of the Agreement between the Government of the Russian Federation and the Cabinet of Ministers of the Kyrgyz Republic on the purchase and sale of a part of the share of the Russian Federation in the Paid-up Authorized Capital of the Eurasian Development Bank, signed on March 21, 2023 in Moscow",About the draft Law,Empty
562,"On the ratification of the Agreement between the Government of the Russian Federation and the Cabinet of Ministers of the Kyrgyz Republic on the purchase and sale of a part of the share of the Russian Federation in the Paid-up Authorized Capital of the Eurasian Development Bank, signed on March 21, 2023 in Moscow",About the draft Law,Empty
563,"On the ratification of the Agreement between the Government of the Russian Federation and the Cabinet of Ministers of the Kyrgyz Republic on the purchase and sale of a part of the share of the Russian Federation in the Paid-up Authorized Capital of the Eurasian Development Bank, signed on March 21, 2023 in Moscow",About the draft Law,Empty
564,"Modernization and Sustainable Development of the Electric Power sector"" between the Kyrgyz Republic and the International Bank for Reconstruction and Development, the International Development Association (acting as the administrator of the funds of the Single Donor Trust Fund to support the Modernization and Sustainable Development of the Electric Power Sector (KEMS) project in the Kyrgyz Republic), signed on January 31, 2023 in Bishkek""",About the draft Law,On the ratification of the Grant Agreement on the project
565,"On Order No. 129-r of the Cabinet of Ministers of the Kyrgyz Republic dated March 28, 2023",On the draft resolution of the Jogorku Kenesh,Empty
566,On amendments to the Housing Code of the Kyrgyz Republic,About the draft Law,Empty
567,"On special protective, anti-dumping and countervailing measures for the import of goods",About the draft Law,Empty
568,On consumer protection,On amendments to the Law of the Kyrgyz Republic,About the draft Law
569,About strategic facilities of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
570,"On ratification of the Fourth Protocol on Amendments to the Charter of the Collective Security Treaty Organization dated October 7, 2002, signed on August 26, 2022",About the draft Law,Empty
571,"Climate-resistant water supply in the Kyrgyz Republic"" and the Grant Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development on the Climate-resistant Water Supply project in the Kyrgyz Republic, signed on July 8, 2022 in London",About the draft Law,On ratification of the Loan Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development on the project
572,"On the accession of the Kyrgyz Republic to the Convention on the International Procedure for the Recovery of Child Support and Other Forms of Family Maintenance, adopted in The Hague on November 23, 2007",About the draft law,Empty
573,State Development Bank of the Kyrgyz Republic,On the submission of a candidate to the Board of Directors of an open joint stock company,On the draft resolution of the Jogorku Kenesh
574,About the Accounting Chamber of the Kyrgyz Republic,About the draft Law,Empty
575,About the state language of the Kyrgyz Republic,About the draft Law,Empty
576,About advertising,On amendments to the Law of the Kyrgyz Republic,About the draft Law
577,"On External migration"", On external labor migration"", On the legal status of foreign citizens in the Kyrgyz Republic"")""",About the draft Law,"On amendments to some legislative acts of the Kyrgyz Republic"" (laws"
578,"About electric and postal communications"", About postal communications"")",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
579,On the observance of human and civil rights and freedoms in the Kyrgyz Republic in 2022,On the annual report of the Akyykatchy (Ombudsman) Kyrgyz Republic,Empty
580,On the annual report of the National Center for the Prevention of Torture of the Kyrgyz Republic for 2022,Empty,Empty
581,"Improvement of medical equipment in Bishkek and Chui region"", forming an international agreement, and a Grant agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Japan International Cooperation Agency (JICA) on the project Improvement of medical equipment in Bishkek and Chui region"", signed on February 9, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
582,"Improvement of medical equipment in Bishkek and Chui region"", forming an international agreement, and a Grant agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Japan International Cooperation Agency (JICA) on the project Improvement of medical equipment in Bishkek and Chui region"", signed on February 9, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
583,"Improvement of medical equipment in Bishkek and Chui region"", forming an international agreement, and a Grant agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Japan International Cooperation Agency (JICA) on the project Improvement of medical equipment in Bishkek and Chui region"", signed on February 9, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
584,"Improvement of equipment for maintenance of highways and pavement in Batken region"" and the Grant Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Japan International Cooperation Agency (JICA) on the project Improvement of equipment for maintenance of highways and pavement in Batken region"", signed on March 23, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
585,"Improvement of equipment for maintenance of highways and pavement in Batken region"" and the Grant Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Japan International Cooperation Agency (JICA) on the project Improvement of equipment for maintenance of highways and pavement in Batken region"", signed on March 23, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
586,"Improvement of equipment for maintenance of highways and pavement in Batken region"" and the Grant Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Japan International Cooperation Agency (JICA) on the project Improvement of equipment for maintenance of highways and pavement in Batken region"", signed on March 23, 2023 in Bishkek""",About the draft Law,On the ratification of Exchange Notes between the Cabinet of Ministers of the Kyrgyz Republic and the Government of Japan on the project
587,On the protection of bank deposits,On amendments to the Law of the Kyrgyz Republic,About the draft Law
588,"On the write-off of budget loans issued to business entities of the Batken region affected by the conflict on the Kyrgyz-Tajik border on April 28-30, 2021",About the draft Law,Empty
589,About state benefits in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
590,"On the establishment of a special deputy commission to consider the submission of the Prosecutor General of the Kyrgyz Republic K.T.Zulushev on obtaining the consent of the Jogorku Kenesh of the Kyrgyz Republic to initiate criminal proceedings, conduct pre-trial investigative actions, measures and involve Deputy of the Jogorku Kenesh of the Kyrgyz Republic J.B.Abirov as an accused","On invalidation of Resolution No. 1027-VII of the Jogorku Kenesh of the Kyrgyz Republic dated March 15, 2023",On the draft resolution of the Jogorku Kenesh
591,On the State Border of the Kyrgyz Republic and the invalidation of certain legislative acts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
592,About highways,About the draft Law,Empty
593,"On the sustainable development of the Issyk-Kul ecological and economic system"", On the pledge"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
594,About chemicalization and plant protection,On amendments to the Law of the Kyrgyz Republic,About the draft Law
595,About animal protection,About the draft Law,Empty
596,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
597,On amendments to some legislative acts of the Kyrgyz Republic,About the draft Law,Empty
598,On amendments to some legislative acts of the Kyrgyz Republic in the field of defense,About the draft Law,Empty
599,On the right to access information,About the draft Law,Empty
600,On the report of the Prosecutor General of the Kyrgyz Republic on the state of legality in the Kyrgyz Republic in 2022 and on the work done by the Prosecutor's Office to strengthen it,Empty,Empty
601,"Modernization and sustainable development of the electric power sector, signed on October 5, 2022 in Bishkek",On the ratification of the Financing Agreement between the Kyrgyz Republic and the International Development Association (World Bank) on the project,About the draft Law
602,"Electric Stations"" and the National Electric Network of Kyrgyzstan Open Joint Stock Company (reviewed by the Committee on Fuel and Energy Complex, Subsoil Use and Industrial Policy)",2. On the draft resolution of the Jogorku Kenesh,On giving consent to the issue of new shares of an open joint stock company
603,On the procedure for the exercise of control functions by the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
604,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
605,On approval of the structure of local courts and the staffing of judges of local courts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
606,"On the establishment of military ranks, class ranks, special class ranks and special ranks",On amendments to the Law of the Kyrgyz Republic,About the draft Law
607,On the voluntary legalization and amnesty of assets of individuals,About the draft Law,Empty
608,On amendments to some legislative acts of the Kyrgyz Republic in the field of voluntary declaration and amnesty of assets of individuals,About the draft Law,Empty
609,"On the local State administration and local self-government bodies"", On the status of the capital"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
610,About mediation,On amendments to the Law of the Kyrgyz Republic,About the draft Law
611,On state regulation of foreign trade activities,About the draft Law,Empty
612,On strategic planning in the Kyrgyz Republic,About the draft Law,Empty
613,About the local state administration and local self-government bodies,On amendments to the Law of the Kyrgyz Republic,About the draft Law
614,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law of the Kyrgyz Republic
615,"On ratification of the Fourth Protocol on Amendments to the Charter of the Collective Security Treaty Organization dated October 7, 2002, signed on August 26, 2022",About the draft Law,Empty
616,"Climate-resistant water supply in the Kyrgyz Republic"" and the Grant Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development on the Climate-resistant Water Supply project in the Kyrgyz Republic, signed on July 8, 2022 in London",About the draft Law,On ratification of the Loan Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development on the project
617,On amendments to the Housing Code of the Kyrgyz Republic,About the draft Law,Empty
618,On the privatization of state property in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
619,About the state pension social insurance,On amendments to the Law of the Kyrgyz Republic,About the draft Law
620,"On the accession of the Kyrgyz Republic to the Convention on the International Procedure for the Recovery of Child Support and Other Forms of Family Maintenance, adopted in The Hague on November 23, 2007",About the draft law,Empty
621,On amendments to the Criminal Code of the Kyrgyz Republic,About the draft Law,Empty
622,About electronic commerce,On amendments to the Law of the Kyrgyz Republic,About the draft Law
623,On amendments to some legislative acts of the Kyrgyz Republic in the field of taxation,About the draft Law,Empty
624,On amendments to some legislative acts of the Kyrgyz Republic in the field of taxation,About the draft Law,Empty
625,"Kumtor Gold Company since the transfer to the ownership of the Kyrgyz Republic, formed by resolutions of the Jogorku Kenesh of the Kyrgyz Republic dated September 28, 2022 No. 494-VII and December 8, 2022 No. 719-VII",". On the conclusion of the temporary deputy commission for the study of gold mining and sale, the activities of a Closed joint-Stock Company",Empty
626,On the work of deputies of the Jogorku Kenesh of the Kyrgyz Republic with voters,On the draft resolution of the Jogorku Kenesh,Empty
627,"On the status of the deputy of the Jogorku Kenesh of the Kyrgyz Republic, returned with the objection of the President of the Kyrgyz Republic",On the formation of a conciliation group to develop an agreed version of the constitutional Law of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
628,"On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic, developed by the conciliation group formed by Resolution of the Jogorku Kenesh of the Kyrgyz Republic No. 971-VII dated February 15, 2023",On amendments to the Law of the Kyrgyz Republic,Empty
629,"On the extension of the term of work of the temporary deputy commission on gross violations of constitutional laws, laws, guarantees of human and civil rights and freedoms of the Kyrgyz Republic, formed by Resolution No. 821-VII of the Jogorku Kenesh of the Kyrgyz Republic dated December 29, 2022",On the draft resolution of the Jogorku Kenesh,Empty
630,"On approval of candidates of deputies of the Jogorku Kenesh of the Kyrgyz Republic to the composition of the competition commission for the selection of the external auditor of the National Bank of the Kyrgyz Republic for 2023, 2024 and 2025",On the draft resolution of the Jogorku Kenesh,Empty
631,About the National Archival Fund of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
632,About refugees,On amendments to the Law of the Kyrgyz Republic,About the draft Law
633,On amendments to some legislative acts of the Kyrgyz Republic in connection with the transformation of the Government of the Kyrgyz Republic into the Cabinet of Ministers of the Kyrgyz Republic,About the draft Law,Empty
634,On amendments to some legislative acts of the Kyrgyz Republic in the field of state social insurance,About the draft Law,Empty
635,On amendments to the Criminal Code of the Kyrgyz Republic,About the draft Law,Empty
636,On the State Border of the Kyrgyz Republic and the invalidation of certain legislative acts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
637,On international emergency assistance,On amendments to the Law of the Kyrgyz Republic,About the draft Law
638,"On the universal military duty of citizens of the Kyrgyz Republic, on military and alternative services",On amendments to the Law of the Kyrgyz Republic,About the draft Law
639,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on cooperation in the organization of production of automotive and commercial equipment in the Kyrgyz Republic, signed on January 27, 2023 in Bishkek",About the draft Law,Empty
640,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on cooperation in the organization of production of automotive and commercial equipment in the Kyrgyz Republic, signed on January 27, 2023 in Bishkek",About the draft Law,Empty
641,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on cooperation in the organization of production of automotive and commercial equipment in the Kyrgyz Republic, signed on January 27, 2023 in Bishkek",About the draft Law,Empty
642,"On the classification of some settlements of Batken, Jalal-Abad, Osh and Issyk-Kul regions of the Kyrgyz Republic as ayila (villages)",About the draft Law,Empty
643,"On amendments to some legislative acts of the Kyrgyz Republic (Administrative Procedure Code, Civil Procedure Code)",About the draft Law,Empty
644,About pricing,About the draft Law,Empty
645,"On Food security of the Kyrgyz Republic"", On road transport"")""",4. About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (the laws of the Kyrgyz Republic
646,"On the sustainable development of the Issyk-Kul ecological and economic system"", On the pledge"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
647,On amendments to some legislative acts of the Kyrgyz Republic on issues of home management,About the draft Law,Empty
648,On the protection of bank deposits,On amendments to the Law of the Kyrgyz Republic,About the draft Law
649,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
650,On approval of the list of deputy friendship groups of the Jogorku Kenesh of the Kyrgyz Republic for cooperation with parliaments of foreign countries,"On Amendments to Resolution No. 31-VI of the Jogorku Kenesh of the Kyrgyz Republic dated November 19, 2015",On the draft resolution of the Jogorku Kenesh
651,On guarantees of the activities of the President of the Kyrgyz Republic and the status of the ex-President of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
652,About forensic expertise,On amendments to the Law of the Kyrgyz Republic,About the draft Law
653,"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the Civil Procedure Code, the Administrative Procedure Code)",About the draft Law,Empty
654,On the procedure for the exercise of control functions by the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
655,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
656,On approval of the structure of local courts and the staffing of judges of local courts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
657,"On the establishment of military ranks, class ranks, special class ranks and special ranks",On amendments to the Law of the Kyrgyz Republic,About the draft Law
658,About physical culture and sports,On amendments to the Law of the Kyrgyz Republic,About the draft Law
659,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
660,On amendments to some legislative acts of the Kyrgyz Republic on issues of trust management of state property,About the draft Law,Empty
661,"On ratification of the Fourth Protocol on Amendments to the Charter of the Collective Security Treaty Organization dated October 7, 2002, signed on August 26, 2022",About the draft Law,Empty
662,On the approval of the Program for the Effective Management and Disposal of Nationalized Facilities,"On approval of the Program of Privatization of State Property in the Kyrgyz Republic for 2023-2025 and on amendments to Resolution No. 941-V of the Jogorku Kenesh of the Kyrgyz Republic dated July 8, 2011",On the draft resolution of the Jogorku Kenesh
663,About medical insurance of citizens in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
664,"On the procedure for exercising the control functions of the Jogorku Kenesh of the Kyrgyz Republic"", On the procedure for covering the activities of the Jogorku Kenesh of the Kyrgyz Republic in the state media""),",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
665,On the elections of the President of the Kyrgyz Republic and deputies of the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
666,"On the renaming of the Kosh-Dobonsky aiyl aimag of the Kochkor district of the Naryn region, some villages of the Osh and Talas regions and the Kara-Buurinsky district of the Talas region of the Kyrgyz Republic",About the draft Law,Empty
667,On amendments to some legislative acts of the Kyrgyz Republic in the field of local self-government,About the draft Law,Empty
668,"On the classification of some settlements of Batken, Jalal-Abad, Osh and Issyk-Kul regions of the Kyrgyz Republic as ayila (villages)",About the draft Law,Empty
669,"On amendments to some legislative acts of the Kyrgyz Republic (Administrative Procedure Code, Civil Procedure Code)",About the draft Law,Empty
670,On State guarantees for ethnic Kyrgyz moving to the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
671,On amendments to some legislative acts of the Kyrgyz Republic,About the draft Law,Empty
672,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Azerbaijan on the establishment of the Azerbaijan-Kyrgyz Development Fund, signed on October 11, 2022 in Bishkek",About the draft Law,Empty
673,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Azerbaijan on the establishment of the Azerbaijan-Kyrgyz Development Fund, signed on October 11, 2022 in Bishkek",About the draft Law,Empty
674,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Azerbaijan on the establishment of the Azerbaijan-Kyrgyz Development Fund, signed on October 11, 2022 in Bishkek",About the draft Law,Empty
675,About chemicalization and plant protection,On amendments to the Law of the Kyrgyz Republic,About the draft Law
676,"About the draft resolution of the Jogorku Kenesh of the Kyrgyz Republic “On Amendments to the Resolution of the Jogorku Kenesh of the Kyrgyz Republic dated April 6, 2022 No. 176-VII “On the formation of a temporary deputy commission to study the issues of chaotic construction in the city of Bishkek and control the implementation of urban planning legislation of the Kyrgyz Republic”",Empty,Empty
677,On information from the Cabinet of Ministers of the Kyrgyz Republic on the progress of preparations for spring field and household work in 2023 in the Kyrgyz Republic,Empty,Empty
678,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on June 10, 2022 in the city of Nur Sultan",About the draft Law,Empty
679,"Modernization and sustainable development of the electric power sector, signed on October 5, 2022 in Bishkek",On the ratification of the Financing Agreement between the Kyrgyz Republic and the International Development Association (World Bank) on the project,About the draft Law
680,"Climate-resistant water supply in the Kyrgyz Republic"" and the Grant Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development on the Climate-resistant Water Supply project in the Kyrgyz Republic, signed on July 8, 2022 in London",About the draft Law,On ratification of the Loan Agreement between the Kyrgyz Republic and the European Bank for Reconstruction and Development on the project
681,About volunteering,About the draft Law,Empty
682,About the exchange of credit information,On amendments to the Law of the Kyrgyz Republic,About the draft Law
683,About pricing,About the draft Law,Empty
684,"On Food security of the Kyrgyz Republic"", On road transport"")""",4. About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (the laws of the Kyrgyz Republic
685,About physical culture and sports,On amendments to the Law of the Kyrgyz Republic,About the draft Law
686,About highways,About the draft Law,Empty
687,On amendments to the Criminal Code of the Kyrgyz Republic ),About the draft Law,Empty
688,"On the work carried out by the Cabinet of Ministers of the Kyrgyz Republic on the return of illegally leased and privatized buildings, premises, structures and land plots previously owned by healthcare, education, culture and sports organizations of the Kyrgyz Republic",On the draft resolution of the Jogorku Kenesh,Empty
